اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع
الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,النقل البرّي,عدد 4 نهج لبنان,أريانة,حي التضامن,حي التضامن,محلية
الشركة الاهلية المحلية روز ماري القصرين,حراجة / إستغلال الغابات,نهج يونس الكعباشي,القصرين,القصرين الجنوبية,العويجة,محلية
الشركة الاهلية المحلية فوسانة الجديدة,حراجة / إستغلال الغابات,اولاد زيد,القصرين,فوسانة,فوسانة,محلية
الشركة الاهلية المحلية توني بلاست وان,إسترداد المواد المستعملة غير المعدنية القابلة للرسكلة,شارع الجمهورية,القصرين,سبيطلة,سبيطلة,محلية
سباسب الوسط الغربي شركة اهلية جهوية,تشكيل الحجر و إعداده للإستعمال,سبيبة,القصرين,القصرين الشمالية,النور الشرقي,محلية
الشركة الأهلية المحلية الأجرد لتثمين الثروات,حراجة / إستغلال الغابات,الأجرد,القصرين,حيدرة,حيدرة,محلية
الشركة الاهلية المحلية جرجير سبيطلة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,حي الغابات,القصرين,سبيطلة,سبيطلة,محلية
الشركة الاهلية المحلية فلاح سبيطلة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,الاثار,القصرين,سبيطلة,سبيطلة,محلية
الشركة الاهلية المحلية العبادلة للنقل,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,عدد 470 نهج التحرير,القصرين,سبيطلة,سبيطلة,محلية
الشركة الاهلية المحلية المركب الفلاحي مشرق الشمس,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,مشرق الشمس,القصرين,سبيطلة,سبيطلة,محلية
الشركة الاهلية المحلية الهراهرة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,الاثار,القصرين,سبيطلة,سبيطلة,محلية
الشركة الأهلية الذهيبات للخدمات الفلاحية شركة أهلية محلية,فلاحة/ صيد و الخدمات المتصلة بها,الذهيبات,القيروان,العلاء,العلا,محلية
فخمة وان شركة أهلية محلية,فلاحة/ صيد و الخدمات المتصلة بها,الخضراء,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية
الشركة الأهلية المحلية الزهراء,فلاحة/ صيد و الخدمات المتصلة بها,القرين,القيروان,الشبيكة,الجواودة,محلية
الشركة الاهلية المحلية كنعان الأنشطة الفلاحية,تربية الحيوانات,الخضراء عرقوب الخضراء,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية
الشركة الاهلية المحلية معروف,تربية الدواجن,معروف قصر اللمسة,القيروان,الوسلاتية,الوسلاتية الشرقية,محلية
الشركة الأهلية المحلية السنبلة الذهبية بالمخصومة,زراعة,الخصومة ب8 رقادة,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية
الشركة الأهلية المحلية بئر السلايمية,زراعة,بئر السلايمية,القيروان,نصر اللّه,نصر اللّه المركز,محلية
الشركة الأهلية المحلية الفلاحية الشباب و التنمية,زراعة,حي الرياض منزل المهيري,القيروان,نصر اللّه,نصر اللّه المركز,محلية
الشركة الأهلية المحلية زهرة الحياة,فلاحة / صيد و الخدمات المتصلة بها,حمام الخضراء ب3 عرقوب الخضراء,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية
الشركة الاهلية المحلية الشواشي للخدمات الفلاحية,فلاحة / صيد و الخدمات المتصلة بها,الشواشي,القيروان,حاجب العيون,الحاجب المركز,محلية
الشركة الاهلية المحلية اولاد خليف اقرو,فلاحة / صيد و الخدمات المتصلة بها,أولاد خلف الله,القيروان,حفوز,حفوز المركز,محلية
الشركة الاهلية المحلية بسيسب للخدمات الفلاحية,فلاحة / صيد و الخدمات المتصلة بها,سيسب,القيروان,السبيخة,السبيخة المركز,محلية
الشركة الأهلية المحلية الازدهار,فلاحة / صيد و الخدمات المتصلة بها,وادي القصاب,القيروان,الوسلاتية,الوسلاتية الشرقية,محلية
الشركة الاهلية المحلية للتربية و التعليم الأغالبة,التعليم الثانوي,نهج سكينة بنت الحسين الطابق1,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية
شركة بير مرجان للفلاحة العصرية,تربية الحيوانات,عين كرمة 2 طابية,الكاف,ساقية سيدي يوسف,ساقية سيدي يوسف,محلية
الشركة الأهلية الجهوية بركة الكاف,زراعة,حي علي بن خليفة,الكاف,الجريصة,الجريصة المركزية,جهوية
