اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الاهلية المحلية توني بلاست وان,إسترداد المواد المستعملة غير المعدنية القابلة للرسكلة,شارع الجمهورية,القصرين,سبيطلة,سبيطلة,محلية,الشركه توني بلاست وان,70.0,67,True,الشركة الأهلية المحلية لزيتون اللاس,1886679Z,1886679Z,الكاف,السرس,10600,شركة أهلية محلية,https://trovit.tn/charika/1886679Z,False,False
سباسب الوسط الغربي شركة اهلية جهوية,تشكيل الحجر و إعداده للإستعمال,سبيبة,القصرين,القصرين الشمالية,النور الشرقي,محلية,سباسب الوسط الغربي شركه اهليه جهويه,67.6056338028169,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,False,False
الشركة الأهلية المحلية الأجرد لتثمين الثروات,حراجة / إستغلال الغابات,الأجرد,القصرين,حيدرة,حيدرة,محلية,الشركه الاجرد لتثمين الثروات,64.40677966101696,15,True,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,1835385F,1835385F,تطاوين,تطاوين الشمالية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1835385F,False,False
الشركة الاهلية المحلية كنعان الأنشطة الفلاحية,تربية الحيوانات,الخضراء عرقوب الخضراء,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية,الشركه كنعان الانشطه الفلاحيه,76.92307692307692,49,True,الشركة الأهلية المحلية الريادة الفلاحية,1901072N,1901072N,سيدي بوزيد,منزل بوزيان,10000,شركة أهلية محلية,https://trovit.tn/charika/1901072N,False,False
الشركة الاهلية المحلية معروف,تربية الدواجن,معروف قصر اللمسة,القيروان,الوسلاتية,الوسلاتية الشرقية,محلية,الشركه معروف,72.0,52,True,الشركة الأهلية المحلية الصمود,1889813Z,1889813Z,سيدي بوزيد,سيدي بوزيد الغربية,10000,شركة أهلية محلية,https://trovit.tn/charika/1889813Z,False,False
الشركة الأهلية المحلية بئر السلايمية,زراعة,بئر السلايمية,القيروان,نصر اللّه,نصر اللّه المركز,محلية,الشركه بير السلايميه,78.78787878787878,62,True,الشركة الأهلية المحلية السلام,1882403D,1882403D,سليانة,بو عرادة,10000,شركة أهلية محلية,https://trovit.tn/charika/1882403D,False,False
الشركة الأهلية المحلية زهرة الحياة,فلاحة / صيد و الخدمات المتصلة بها,حمام الخضراء ب3 عرقوب الخضراء,القيروان,القيروان الجنوبية,المنصورة الشمالية,محلية,الشركه زهره الحياه,81.08108108108108,73,True,الشركة الأهلية المحلية زهرة الجديدي,1883252L,1883252L,باجة,مجاز الباب,10000,شركة أهلية محلية,https://trovit.tn/charika/1883252L,False,False
الشركة الاهلية المحلية الشواشي للخدمات الفلاحية,فلاحة / صيد و الخدمات المتصلة بها,الشواشي,القيروان,حاجب العيون,الحاجب المركز,محلية,الشركه الشواشي للخدمات الفلاحيه,77.41935483870968,137,True,الشركة الأهلية المحلية للخدمات الفلاحية النوائل,1806830T,1806830T,سيدي بوزيد,بير  الحفي,44000,شركة أهلية محلية,https://trovit.tn/charika/1806830T,False,False
الشركة الاهلية المحلية اولاد خليف اقرو,فلاحة / صيد و الخدمات المتصلة بها,أولاد خلف الله,القيروان,حفوز,حفوز المركز,محلية,الشركه اولاد خليف اقرو,68.42105263157895,74,True,الشركة الأهلية المحلية قرين أقرو,1886864Y,1886864Y,قابس,الحامة,54000,شركة أهلية محلية,https://trovit.tn/charika/1886864Y,False,False
الشركة الأهلية المحلية الازدهار,فلاحة / صيد و الخدمات المتصلة بها,وادي القصاب,القيروان,الوسلاتية,الوسلاتية الشرقية,محلية,الشركه الازدهار,82.75862068965517,59,True,الشركة الأهلية المحلية الزهراء,1887870A,1887870A,القيروان,الشبيكة,57000,شركة أهلية محلية,https://trovit.tn/charika/1887870A,False,False
