اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,النقل البرّي,عدد 4 نهج لبنان,أريانة,حي التضامن,حي التضامن,محلية,الشركه ريكارد للنقل و الخدمات,100.0,7,True,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,1869581R,1869581R,تونس,التضامن,20400,شركة أهلية جهوية,https://trovit.tn/charika/1869581R,True,False
الشركة الاهلية المحلية روز ماري القصرين,حراجة / إستغلال الغابات,نهج يونس الكعباشي,القصرين,القصرين الجنوبية,العويجة,محلية,الشركه روز ماري القصرين,100.0,34,True,الشركة الاهلية المحلية روز ماري القصرين,1916213K,1916213K,القصرين,القصرين الجنوبية,10400,شركة أهلية محلية,https://trovit.tn/charika/1916213K,True,False
الشركة الاهلية المحلية فوسانة الجديدة,حراجة / إستغلال الغابات,اولاد زيد,القصرين,فوسانة,فوسانة,محلية,الشركه فوسانه الجديده,100.0,100,True,الشركة الاهلية المحلية فوسانة الجديدة,1861317R,1861317R,القصرين,فوسانة,10000,شركة أهلية محلية,https://trovit.tn/charika/1861317R,True,False
الشركة الاهلية المحلية توني بلاست وان,إسترداد المواد المستعملة غير المعدنية القابلة للرسكلة,شارع الجمهورية,القصرين,سبيطلة,سبيطلة,محلية,الشركه توني بلاست وان,70.0,67,True,الشركة الأهلية المحلية لزيتون اللاس,1886679Z,1886679Z,الكاف,السرس,10600,شركة أهلية محلية,https://trovit.tn/charika/1886679Z,False,False
سباسب الوسط الغربي شركة اهلية جهوية,تشكيل الحجر و إعداده للإستعمال,سبيبة,القصرين,القصرين الشمالية,النور الشرقي,محلية,سباسب الوسط الغربي شركه اهليه جهويه,67.6056338028169,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,False,False
الشركة الأهلية المحلية الأجرد لتثمين الثروات,حراجة / إستغلال الغابات,الأجرد,القصرين,حيدرة,حيدرة,محلية,الشركه الاجرد لتثمين الثروات,64.40677966101696,15,True,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,1835385F,1835385F,تطاوين,تطاوين الشمالية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1835385F,False,False
الشركة الاهلية المحلية جرجير سبيطلة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,حي الغابات,القصرين,سبيطلة,سبيطلة,محلية,الشركه جرجير سبيطله,100.0,135,True,الشركة الاهلية المحلية جرجير سبيطلة,1815957K,1815957K,القصرين,سبيطلة,15800,شركة أهلية محلية,https://trovit.tn/charika/1815957K,True,False
الشركة الاهلية المحلية فلاح سبيطلة,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,الاثار,القصرين,سبيطلة,سبيطلة,محلية,الشركه فلاح سبيطله,100.0,131,True,الشركة الاهلية المحلية فلاح سبيطلة,1822253A,1822253A,القصرين,سبيطلة,10000,شركة أهلية محلية,https://trovit.tn/charika/1822253A,True,False
الشركة الاهلية المحلية العبادلة للنقل,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,عدد 470 نهج التحرير,القصرين,سبيطلة,سبيطلة,محلية,الشركه العبادله للنقل,100.0,113,True,الشركة الاهلية المحلية العبادلة للنقل,1836669V,1836669V,القصرين,سبيطلة,14000,شركة أهلية محلية,https://trovit.tn/charika/1836669V,True,False
الشركة الاهلية المحلية المركب الفلاحي مشرق الشمس,أنشطة الخدمات الملحقة بالفلاحة بإستثناء الأنشطة البيطرية,مشرق الشمس,القصرين,سبيطلة,سبيطلة,محلية,الشركه المركب الفلاحي مشرق الشمس,100.0,140,True,الشركة الاهلية المحلية المركب الفلاحي مشرق الشمس,1797120Q,1797120Q,القصرين,سبيطلة,11400,شركة أهلية محلية,https://trovit.tn/charika/1797120Q,True,False
