name_ar,matched_indexes,matched_names_fr,reason
الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,8,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,même nom de société
الشركة الاهلية المحلية روز ماري القصرين,35,الشركة الاهلية المحلية روز ماري القصرين,الشركة الأهلية المحلية روز ماري القصرين
الشركة الاهلية المحلية فوسانة الجديدة,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,companie agricole locale
الشركة الاهلية المحلية جرجير سبيطلة,36,الشركة الأهلية المحلية شمس البادية,الشركة الأهلية المحلية جمنة عراجين الكرمة
الشركة الاهلية المحلية فلاح سبيطلة,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
الشركة الاهلية المحلية العبادلة للنقل,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية العبادلة للنقل
الشركة الاهلية المحلية المركب الفلاحي مشرق الشمس,130;42,الشركة الأهلية المحلية الفلاحية الشباب و التنمية | شيزور شركة أهلية محلية,المركب الفلاحي مشرق الشمس
الشركة الاهلية المحلية الهراهرة,29,الشركة الاهلية المحلية للنقل الزهد,الشركة الاهلية المحلية للنقل الزهد
الشركة الأهلية الذهيبات للخدمات الفلاحية شركة أهلية محلية,7;17,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية | الشركة الأهلية الجهوية للتمويل والتأمين التعاوني والإحياء الفلاحي,شركة الأهلية الجهوية للخدمات الفلاحية و الشركة الأهلية المحلية للخدمات الفلاحية
فخمة وان شركة أهلية محلية,1;25,الشركة الأهلية الجهوية للأعلاف و اللحوم | بيو دو مو شركة أهلية محلية,الفخمة وان شركة أهلية محلية
الشركة الأهلية المحلية الزهراء,30,الشركة الاهلية المحلية الأولى الأمل,الشركة الأهلية المحلية الأولى الأمل
الشركة الاهلية المحلية كنعان الأنشطة الفلاحية,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية
الشركة الاهلية المحلية معروف,25,بيو دو مو شركة أهلية محلية,الشركة الأهلية المحلية future correspond à شركة الأاهلية المحلية المستقبل
الشركة الأهلية المحلية السنبلة الذهبية بالمخصومة,25;37,بيو دو مو شركة أهلية محلية | الشركة الأهلية المحلية صناعة الأعلاف الساقية,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق et الشركة الأهلية المحلية صناعة الأعلاف الساقية
الشركة الأهلية المحلية الفلاحية الشباب و التنمية,130,الشركة الأهلية المحلية الفلاحية الشباب و التنمية,同样包含了农业和发展的关键词
الشركة الاهلية المحلية اولاد خليف اقرو,25;75,بيو دو مو شركة أهلية محلية | الشركة الأهلية المحلية قرين أقرو,الشركة الأهلية المحلية أقرو
الشركة الاهلية المحلية بسيسب للخدمات الفلاحية,32,الشركة الاهلية المحلية صقور بأولاد حفوز,الشركة الاهلية المحلية صقور بأولاد حفوز对应法国名单中的索引为32
الشركة الأهلية المحلية الازدهار,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية المستقبل
الشركة الاهلية المحلية للتربية و التعليم الأغالبة,26,الشركة الاهلية المحلية للتربية و التعليم الأغالبة,الشركة الاهلية المحلية للتربية و التعليم الأغالبة
الشركة الأهلية المحلية بيوفالي بسيدي أحمد الصالح,37,الشركة الأهلية المحلية صناعة الأعلاف الساقية,الشركة الأهلية المحلية صناعة الأعلاف الساقية correspond à la société 37: الشركة الأهلية المحلية صناعة الأعلاف الساقية
الشركة الأهلية المحلية لزيتون اللاس,28;68,استثمارات سيدي اسماعيل شركة اهلية محلية | الشركة الأهلية المحلية لزيتون اللاس,الشركة الأهلية المحلية لزيتون اللاس
الظريف لخدمات النقل شركة أهلية جهوية,3,الظريف لخدمات النقل شركة أهلية جهوية,الظريف لخدمات النقل شركة أهلية جهوية
شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية,5,شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية,شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية
الشركة الاهلية المحلية للنقل الزهد,29,الشركة الاهلية المحلية للنقل الزهد,شركة الأهلية المحلية للنقل الزهد
الشركة الأهلية المحلية لتنمية الصناعات التقليدية بالساحلين,28;40,استثمارات سيدي اسماعيل شركة اهلية محلية | الشركة الأهلية المحلية الخوار,الشركة الأهلية المحلية لتنمية الصناعات التقليدية بالساحلين
شركة الاقتصاد الدائري للكربون شركة أهلية جهوية,7,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية,الاسم العربي وFrench name correspondent tous deux à 'شركة الاقتصاد الدائري للكربون شركة أهلية جهوية'
الشركة الاهلية المحلية برج خديجة للتنمية الثقافية و السياحية,25,بيو دو مو شركة أهلية محلية,شركة أهلية محلية
شركة ألكا محيط لرسكلة النفايات شركة اهلية محلية,28,استثمارات سيدي اسماعيل شركة اهلية محلية,شركة ألكا محيط لرسكلة النفايات شركة اهلية محلية correspond à استثمارات سيدي اسماعيل شركة اهلية محلية
الشركة ألأهلية الإتحاد أولاد جابالله,140,الشركة ألأهلية الإتحاد أولاد جابالله,نوع الشركة و اسمها متطابق
الشركة الاهلية المحلية البلام بالشابة,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الاهلية المحلية بالدكيلة أرزاق
الشركة الأهلية المحلية النور بالسواسي,25,بيو دو مو شركة أهلية محلية,الشركة الأهلية المحلية النور سيدي امحمد الصخيرة correspond à الشركة الأهلية المحلية النور بالسواسي
بركة الفدان شركة أهلية محلية,25;52,بيو دو مو شركة أهلية محلية | بركة الفدان شركة أهلية محلية,يتوافق مع بركة الفدان شركة أهلية محلية
الشركة الاهلية المحلية باولاد سلامة تستور,26,الشركة الاهلية المحلية للتربية و التعليم الأغالبة,الشركة الاهلية المحلية باولاد سلامة تستور
الجنة المخفية شركة أهلية محلية,25;79,بيو دو مو شركة أهلية محلية | الجنة المخفية شركة أهلية محلية,الجنة المخفية شركة أهلية محلية
الشركة الأهلية المحلية زهرة الجديدي,45,الشركة الاهلية المحلية الفلاحية الازدهار بالدوارة أم العرائس,شركة الأهلية المحلية زهرة الجديدي
توكا بلي دور شركة أهلية محلية,25,بيو دو مو شركة أهلية محلية,شركة أهلية محلية
كاف هدوم شركة أهلية محلية,1,الشركة الأهلية الجهوية للأعلاف و اللحوم,كاف هدوم شركة أهلية محلية
جنان فاقا شركة أهلية جهوية,1,الشركة الأهلية الجهوية للأعلاف و اللحوم,جنان فاقا شركة أهلية جهوية correspond à الشركة الأهلية الجهوية للأعلاف و اللحوم
شركة الإمتياز بقبلاط شركة أهلية محلية,22,شركة الأهلية الجهوية بجندوبة الصفاء,شركة الأهلية الجهوية بجندوبة الصفاء
الشركة الاهلية المحلية خيرات قبلاط,40,الشركة الأهلية المحلية الخوار,الشركة الأهلية المحلية الخوار و الشركة الأاهلية المحلية سقيا للزراعات ont un sens similaire
استثمارات سيدي اسماعيل شركة اهلية محلية,28,استثمارات سيدي اسماعيل شركة اهلية محلية,يُشير إلى نفس الشركة باللغتين
الشركة الأهلية المحلية سبيل البركة قبلاط,66,الشركة الأهلية المحلية سبيل البركة قبلاط,matches the name exactly
الشركة الأهلية المحلية بنمسلم للفلاحة,20,الشركة الأهلية الجهوية عين رباو,الشركة الأهلية الجهوية مبدعات زيكا وشركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية
غانم الخير شركة أهلية محلية,41,البلدي للمواد الإنشائية شركة أهلية محلية,شركة أهلية محلية
حلم الزوارع شركة أهلية محلية,9;25,الشركة الأهلية الجهوية مبدعات زيكا | بيو دو مو شركة أهلية محلية,حلم الزوارع شركة أهلية محلية
غانم الخير شركة أهلية محلية,25;46,بيو دو مو شركة أهلية محلية | الشركة الاهلية المحلية النصر,الشركة الأهلية المحلية الخوار
حلم الزوارع شركة أهلية محلية,9,الشركة الأهلية الجهوية مبدعات زيكا,حلم الزوارع شركة أهلية محلية
بارك مقرنوا شركة اهلية محلية,1;25,الشركة الأهلية الجهوية للأعلاف و اللحوم | بيو دو مو شركة أهلية محلية,بارك مقرنوا
الشركة الاهلية المحلية للثقافة والترفيه والسياحة القباب,32;93,الشركة الاهلية المحلية صقور بأولاد حفوز | الشركة الاهلية المحلية للثقافة والترفيه والسياحة القباب,الشركة الاهلية المحلية صقور بأولاد حفوز وشركة الأهلية المحلية للثقافة والترفيه والسياحة القباب
الشركة الأهليه المحلية بير ماطر,23,الشركة الأهلية المحلية الفلاحية المستقبل,الاسم يشير إلى شركة محلية في الزراعة
الشركة الأهلية المحلية الفلاحية المستقبل,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية المستقبل
الشركة الاهلية المحلية عين مازر,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
ايكو كلين بيزارتا شركة أهلية جهوية,1,الشركة الأهلية الجهوية للأعلاف و اللحوم,ايكو كلين بيزارتا شركة أهلية جهوية correspond à الشركة الأهلية الجهوية للأعلاف و اللحوم
الشركة الأهلية المحلية الفلاحية ابن عرفة غمراسن,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
الشركة الاهلية الجهوية بلقاء للحوم,14,الشركة الاهلية الجهوية بلقاء للحوم,الشركة الاهلية الجهوية بلقاء للحوم
الشركة الاهلية الجهوية البيارق للانتاج الحيواني,16,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,同样的公司名称
الشركة الاهلية المحلية مراعي الوطن,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الاهلية المحلية الفلاحية
الشركة الاهلية الجهوية سقيا للزراعات,13;37,الشركة الاهلية الجهوية سقيا للزراعات | الشركة الأهلية المحلية صناعة الأعلاف الساقية,الشركة الاهلية الجهوية سقيا للزراعات
الشركة الاهلية الجهوية الصحاري للجبس بتطاوين,15,الشركة الاهلية الجهوية الصحاري للجبس بتطاوين,الشركة الاهلية الجهوية الصحاري للجبس بتطاوين correspond à la 15ème entrée de la liste française.
شركة الاهلية الجهوية الماسة للطاقة (في طور التصفية ),12,شركة الاهلية الجهوية الماسة للطاقة,شركة الاهلية الجهوية الماسة للطاقة
الشركة الأهلية المحلية الكوفة للانتاج الحيواني,70,الشركة الأهلية المحلية الكوفة للانتاج الحيواني,适合自己化的动物生产
الشركة الأهلية المحلية العمارنة,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية الفلاحة و الخدمات بالبهلولة زانوش
الشركة الأهلية المحلية الغزال الذهبي حزوة,60,الشركة الأهلية المحلية الزهراء,الشركة الأهلية المحلية الذهبية الغزال
الشركة الأهلية المحلية للتنمية بجهيم,9;34,الشركة الأهلية الجهوية مبدعات زيكا | مستقبل جربة شركة أهلية محلية,الشركة الأهلية المحلية للتنمية بجهيم
الشركة الاهلية المحلية الأولى الأمل,30,الشركة الاهلية المحلية الأولى الأمل,matches 'الشركة الاهلية المحلية الأولى الأمل'
الشركة الأهلية المحلية فيوندار الوردية,8;23,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات | الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية فيوندار الوردية
البلدي للمواد الإنشائية شركة أهلية محلية,11,الشركة الجهوية الأهلية منوبة البية,البلدي للمواد الإنشائية شركة أهلية محلية
س م ك لوكي للجلود و الاحذية شركة أهلية محلية,11;30,الشركة الجهوية الأهلية منوبة البية | الشركة الاهلية المحلية الأولى الأمل,س م ك لوكي للجلود و الاحذية شركة أهلية محلية
حلمه للنسيج شركة اهلية محلية,8,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,حلمه للنسيج شركة اهلية محلية
ماركيا للفلاحة و السياحة شركة أهلية محلية,55,الشركة الأهلية المحلية النور سيدي امحمد الصخيرة,corresponde au nom arabe dans l'index 55
شركة الأهلية الجهوية بجندوبة الصفاء,22,شركة الأهلية الجهوية بجندوبة الصفاء,شركة الأهلية الجهوية بجندوبة الصفاء correspond à 'الشركة الأهلية الجهوية بجندوبة الصفاء'
جنان جيوفي شركة أهلية محلية,1;79;99,الشركة الأهلية الجهوية للأعلاف و اللحوم | الجنة المخفية شركة أهلية محلية | جنان برقو للتنمية شركة أهلية محلية,جنان جيوفي شركة أهلية محلية
الشركة الأهلية المحلية الفلاحية القصبات الفحص,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية القصبات الفحص
