charika_type,charika_id,name,delegation,zipcode_list,start_date_raw,capital,tax_id,rc_number,founding_date_iso,legal_form,address,zipcode_detail,wilaya,founding_location,detail_url
jihawiya,1885807J,الشركة الأهلية الجهوية للأعلاف و اللحوم,الفحص,1140,12 سبتمبر 2024,20000,1885807J,C06286842024,2024-09-12,شركة أهلية جهوية,10 نهج الطيب المهيري الفحص,1140,زغوان,زغوان,https://trovit.tn/charika/1885807J
jihawiya,1887893H,الشركة الأهلية الجهوية زيتونة قمودة,سيدي بوزيد الشرقية,9112,27 سبتمبر 2024,25000,1887893H,C18301702024,2024-09-27,شركة أهلية جهوية,الفائض سيدي بوزيد سيدي بوزيد الشرقية,9112,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1887893H
jihawiya,1879535Q,الظريف لخدمات النقل شركة أهلية جهوية,المنستير,5000,10 جويلية 2024,22800,1879535Q,C15306632024,2024-07-10,شركة أهلية جهوية,الحي التاسع عدد 126  المنستير,5000,المنستير,المنستير,https://trovit.tn/charika/1879535Q
jihawiya,1888626T,الشركة الأهلية الجهوية ثمار الوطن,قفصة الجنوبية,2124,3 أكتوبر 2024,20000,1888626T,C17310222024,2024-10-03,شركة أهلية جهوية,10 نهج بسطيا حي السرور  قفصة الجنوبية,2124,قفصة,قفصة,https://trovit.tn/charika/1888626T
jihawiya,1885983A,شركة خدمات النقل غير المنتظم التفاني شركة أهلية جهوية,جمال,5020,8 سبتمبر 2024,24000,1885983A,C15330782024,2024-09-08,شركة أهلية جهوية,المحطة جمال,5020,المنستير,المنستير,https://trovit.tn/charika/1885983A
jihawiya,1881343E,الشركة الاهلية الجهوية أقري عرباطة,قفصة الجنوبية,2100,8 أوت 2024,20300,1881343E,C17259352024,2024-08-08,شركة أهلية جهوية,نهج عمر بن سليمان قفصة الجنوبية,2100,قفصة,قفصة,https://trovit.tn/charika/1881343E
jihawiya,1862833M,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية,طبلبة,5080,13 مارس 2024,21600,1862833M,C01275692024,2024-03-13,شركة أهلية جهوية,8 نهج محمد المستيري طبلبة,5080,تونس,تونس,https://trovit.tn/charika/1862833M
jihawiya,1869581R,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,التضامن,2041,12 مارس 2024,20400,1869581R,C01195382024,2024-03-12,شركة أهلية جهوية,عدد 4 نهج لبنان التضامن,2041,تونس,تونس,https://trovit.tn/charika/1869581R
jihawiya,1872973E,الشركة الأهلية الجهوية مبدعات زيكا,الفحص,1140,7 مارس 2024,28800,1872973E,C06181662024,2024-03-07,شركة أهلية جهوية,نهج محمد علي  الفحص,1140,زغوان,زغوان,https://trovit.tn/charika/1872973E
jihawiya,1847613M,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,سيدي بوزيد الغربية,9100,13 ديسمبر 2023,20000,1847613M,C1838062024,2023-12-13,شركة أهلية جهوية,حي الخضراء سيدي بوزيد الغربية,9100,سيدي بوزيد,سيدي بوزيد,https://trovit.tn/charika/1847613M
